pair_id,seed,stage,face_width,face_height,wh_ratio,jaw_width,cheek_width,temple_width,interocular_dist,nose_width,mouth_width,jaw_angle,contour_area,mut_head,mut_head_cheek,mut_head_chin,mut_head_ear,mut_head_ear_helix,mut_head_ear_lobule,mut_head_eye_botton lid,mut_head_eye_eyelashes,mut_head_eye_iris,mut_head_eye_pupil,mut_head_eye_sclera,mut_head_eye_tear duct,mut_head_eye_top lid,mut_head_eyebrow,mut_head_forehead,mut_head_frown,mut_head_hair,mut_head_hair_sideburns,mut_head_jaw,mut_head_moustache,mut_head_mouth_inferior lip,mut_head_mouth_oral comisure,mut_head_mouth_superior lip,mut_head_mouth_teeth,mut_head_neck,mut_head_nose,mut_head_nose_ala of nose,mut_head_nose_bridge,mut_head_nose_nose tip,mut_head_nose_nostril,mut_head_philtrum,mut_head_temple,mut_head_wrinkles
p1,86,StyleGAN2_Output,582.0309448242188,427.0,1.3630701303482056,477.06707763671875,555.0081176757812,488.0502014160156,146.00341796875,103.01941680908203,206.0606689453125,120.0337905883789,240652.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
p1,87,Gene_Crossover,575.0426025390625,442.01019287109375,1.3009713888168335,493.1713562011719,569.0562133789062,479.12628173828125,148.0033721923828,113.00442504882812,223.03587341308594,119.61961364746094,252516.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,87,Mutation_Enabled,582.021484375,413.0,1.4092530012130737,441.0045471191406,532.0,503.00396728515625,148.0,101.0197982788086,189.06613159179688,112.93392181396484,225813.0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
p1,87,StyleGAN2_Output,579.0034790039062,411.0048522949219,1.4087510108947754,439.1377868652344,533.06005859375,500.0010070800781,147.0,103.0,190.06578063964844,113.95264434814453,223671.5,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
p1,88,Gene_Crossover,606.01318359375,434.0,1.39634370803833,502.0487976074219,589.0136108398438,486.0164489746094,149.00335693359375,119.00420379638672,227.0198211669922,118.76874542236328,255737.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,88,Mutation_Enabled,578.0138549804688,433.0738830566406,1.3346772193908691,477.0094299316406,550.003662109375,487.0657043457031,142.0,109.0,224.08033752441406,118.98857116699219,242876.5,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
p1,88,StyleGAN2_Output,585.0692138671875,434.00115966796875,1.348082184791565,479.00103759765625,564.0009155273438,488.0655822753906,147.00340270996094,108.00463104248047,219.08218383789062,119.90200805664062,246159.0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
p1,89,Gene_Crossover,579.0137939453125,460.00433349609375,1.258713722229004,499.0641174316406,570.0315551757812,475.08526611328125,154.0292205810547,109.00458526611328,240.0520782470703,115.44902801513672,260325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,89,Mutation_Enabled,582.0137329101562,416.04327392578125,1.3989259004592896,443.2538757324219,536.0457153320312,496.0090637207031,145.0,111.0,207.08694458007812,113.36298370361328,224373.0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0
p1,89,StyleGAN2_Output,582.0077514648438,414.0301818847656,1.4057133197784424,449.1347351074219,537.0455932617188,498.009033203125,147.0,109.00458526611328,205.0390167236328,116.64600372314453,226143.0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0
p1,90,Gene_Crossover,589.0008544921875,471.0095520019531,1.2505072355270386,507.11932373046875,578.0553588867188,488.0368957519531,150.00332641601562,114.00438690185547,234.0341796875,114.55181121826172,264016.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,90,Mutation_Enabled,581.0550537109375,425.0423583984375,1.3670520782470703,471.17938232421875,559.0223388671875,477.0041809082031,147.0,112.0,227.0352325439453,113.16969299316406,236788.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
